Player	 Earnings 	Events	Rds.	Cuts  Made	Rds. In 60s	Rds Under Par	Birdies	Scoring Avg.	Driving Distance	Fairways	Greens	Putts	Sand Saves
John Adams	"$188,986"	28	81	13	24	39	3.19	71.61	280.9	8.48	11.8	1.81	57.3%
Fulton Allem	"$237,051"	21	62	10	19	28	3.13	71.34	258.5	10.68	11.85	1.834	56.7%
Billy Andrade	"$665,602"	28	101	23	38	51	3.65	70.43	266.5	8.59	11.29	1.755	55.7%
Stuart Appleby	"$1,003,356"	23	78	18	16	38	3.28	70.37	278.4	9.1	10.86	1.797	64.2%
Paul Azinger	"$262,045"	20	63	12	18	29	3.45	70.44	272.7	9.13	12.22	1.801	55.3%
Doug Barron	"$198,051"	31	103	21	29	50	3.49	71.35	264.8	9.78	11.86	1.79	55.3%
Ronnie Black	"$230,224"	28	85	15	19	37	3.25	70.93	269	8.89	11.51	1.794	66.3%
Phil Blackmar	"$642,400"	27	92	19	29	46	3.65	70.66	274.3	7.91	10.95	1.747	58.4%
Jay Don Blake	"$378,484"	28	91	18	34	48	3.51	70.57	268	9.54	11.84	1.777	55.1%
Guy Boros	"$191,139"	27	79	13	28	35	3.49	72.02	262.7	9.56	11.06	1.762	56.6%
Michael Bradley	"$465,887"	28	88	17	26	46	3.4	70.77	273.8	8.23	10.86	1.773	59.2%
Mike Brisky	"$367,112"	30	100	20	28	50	3.7	71.15	261.1	9.89	11.51	1.745	53.7%
Mark Brooks	"$213,516"	30	89	15	22	36	3.06	71.49	259.3	9.31	11.09	1.787	59.3%
Billy Ray Brown	"$268,709"	24	70	11	20	24	2.94	71.71	267.9	10	11.23	1.807	52.0%
Olin Browne	"$261,810"	33	101	19	25	35	2.92	70.58	261.9	10.77	11.47	1.797	48.6%
Brad Bryant	"$295,365"	24	78	15	21	42	3.47	71.22	268.8	9.47	12.35	1.801	51.8%
Tom Byrum	"$525,161"	27	98	21	36	54	3.69	70.46	269.1	10.74	12.05	1.771	59.4%
Mark Calcavecchia	"$1,117,365"	27	97	23	44	56	3.91	70	279.1	9.24	12.09	1.783	53.0%
Jim Carter	"$279,834"	29	98	21	32	52	3.23	70.8	264	10.4	11.98	1.788	61.2%
Brandel Chamblee	"$334,664"	26	79	15	25	33	3.51	71.13	267.9	9.28	11.72	1.765	49.6%
Michael Christie	"$204,883"	33	96	17	26	50	3.62	71.54	276.1	8.8	11.1	1.751	52.4%
Stewart Cink	"$809,580"	31	99	19	41	52	3.38	70.49	269.8	9.58	11.67	1.787	62.2%
Lennie Clements	"$189,958"	28	88	15	28	42	3.27	71.32	251.2	9.88	11.4	1.784	57.8%
Russ Cochran	"$470,929"	29	103	21	38	61	3.62	70.62	270.5	9.36	12.46	1.783	54.0%
John Cook	"$815,903"	28	99	21	31	51	3.49	70.35	263.9	9.84	12.55	1.787	49.3%
Fred Couples	"$448,385"	15	57	13	21	31	3.86	70.13	283.5	8.67	11.49	1.783	47.4%
